symbol,isin,stock_name,issuer_name,face_value,country,industry,outstanding_shares,
HEG,INE545A01016,HEG Limited,HEG Limited,10,INDIA,INDUSTRIAL MANUFACTURING,#N/A,
HEIDELBERG,INE578A01017,HeidelbergCement India Limited,HeidelbergCement India Limited,10,INDIA,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
HERCULES,INE688E01024,Hercules Hoists Limited,Hercules Hoists Limited,1,INDIA,,#N/A,
HERITGFOOD,INE978A01027,Heritage Foods Limited,Heritage Foods Limited,10,INDIA,CONSUMER GOODS,FOOD PROCESSING,
HEROMOTOCO,INE158A01026,Hero MotoCorp Limited,Hero MotoCorp Limited,2,INDIA,AUTOMOBILE,AUTO - 2 & 3 WHEELERS,
HESTERBIO,INE782E01017,Hester Biosciences Limited,Hester Biosciences Limited,10,INDIA,,#N/A,
HEXATRADEX,INE750M01017,Hexa Tradex Limited,Hexa Tradex Limited,2,INDIA,,#N/A,
HEXAWARE,INE093A01033,Hexaware Technologies Limited,Hexaware Technologies Limited,2,INDIA,IT,COMPUTERS - SOFTWARE,
HFCL,INE548A01028,Himachal Futuristic Communications Limited,Himachal Futuristic Communications Limited,1,INDIA,TELECOM,TELECOMMUNICATIONS - EQUIPMENT,
HGINFRA,INE926X01010,,,,INDIA,,#N/A,
HGS,INE170I01016,Hinduja Global Solutions Limited,Hinduja Global Solutions Limited,10,INDIA,,#N/A,
HHOF1140RG,INF179KB1W87,,,,INDIA,,#N/A,
HIGHGROUND,INE361M01021,High Ground Enterprise Limited,High Ground Enterprise Limited,1,INDIA,,#N/A,
HIKAL,INE475B01022,Hikal Limited,Hikal Limited,2,INDIA,,#N/A,
HIL,INE557A01011,HIL Limited,HIL Limited,10,INDIA,,#N/A,
HILTON,INE788H01017,Hilton Metal Forging Limited,Hilton Metal Forging Limited,10,INDIA,METALS,#N/A,
HIMATSEIDE,INE049A01027,Himatsingka Seide Limited,Himatsingka Seide Limited,5,INDIA,TEXTILES,TEXTILES - SYNTHETIC & SILK,
HINDALCO,INE038A01020,Hindalco Industries Limited,Hindalco Industries Limited,1,INDIA,METALS,ALUMINIUM,
HINDCOMPOS,INE310C01029,Hindustan Composites Limited,Hindustan Composites Limited,5,INDIA,,#N/A,
HINDCOPPER,INE531E01026,Hindustan Copper Limited,Hindustan Copper Limited,5,INDIA,METALS,METALS - NON FERROUS,
HINDMOTORS,INE253A01025,Hindustan Motors Limited,Hindustan Motors Limited,5,INDIA,,#N/A,
HINDNATGLS,INE952A01022,Hindusthan National Glass & Industries Limited,Hindusthan National Glass & Industries Limited,2,INDIA,,#N/A,
HINDOILEXP,INE345A01011,Hindustan Oil Exploration Company Limited,Hindustan Oil Exploration Company Limited,10,INDIA,,#N/A,
HINDPETRO,INE094A01015,Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,10,INDIA,ENERGY,REFINERIES,
HINDUJAVEN,INE353A01023,Hinduja Ventures Limited,Hinduja Ventures Limited,10,INDIA,,#N/A,
HINDUNILVR,INE030A01027,Hindustan Unilever Limited,Hindustan Unilever Limited,1,INDIA,CONSUMER GOODS,PERSONAL CARE,
HINDZINC,INE267A01025,Hindustan Zinc Limited,Hindustan Zinc Limited,2,INDIA,METALS,METALS - NON FERROUS,
HIRECT,INE835D01023,Hind Rectifiers Limited,Hind Rectifiers Limited,2,INDIA,,#N/A,
HISARMETAL,INE598C01011,Hisar Metal Industries Limited,Hisar Metal Industries Limited,10,INDIA,METALS,#N/A,
HITECH,INE106T01017,,,,INDIA,,#N/A,
HITECHCORP,INE120D01012,Hitech Corporation Limited,Hitech Corporation Limited,10,INDIA,,#N/A,
HITECHGEAR,INE127B01011,The Hi-Tech Gears Limited,The Hi-Tech Gears Limited,10,INDIA,,#N/A,
HMT,INE262A01018,HMT Limited,HMT Limited,10,INDIA,,#N/A,
HMVL,INE871K01015,Hindustan Media Ventures Limited,Hindustan Media Ventures Limited,10,INDIA,,#N/A,
HNGSNGBEES,INF732E01227,,,,INDIA,,#N/A,
HONAUT,INE671A01010,Honeywell Automation India Limited,Honeywell Automation India Limited,10,INDIA,INDUSTRIAL MANUFACTURING,TELECOMMUNICATIONS - EQUIPMENT,
HONDAPOWER,INE634A01018,Honda Siel Power Products Limited,Honda Siel Power Products Limited,10,INDIA,,#N/A,
HOTELEELA,INE102A01024,Hotel Leela Venture Limited,Hotel Leela Venture Limited,2,INDIA,SERVICES,HOTELS,
HOVS,INE596H01014,HOV Services Limited,HOV Services Limited,10,INDIA,,#N/A,
HPL,INE495S01016,HPL Electric & Power Limited,HPL Electric & Power Limited,10,INDIA,,#N/A,
HSCL,INE019C01026,Himadri Speciality Chemical Limited,Himadri Speciality Chemical Limited,1,INDIA,CHEMICALS,#N/A,
HSIL,INE415A01038,HSIL Limited,HSIL Limited,2,INDIA,CONSUMER GOODS,CERAMICS & GRANITE,
HTMEDIA,INE501G01024,HT Media Limited,HT Media Limited,2,INDIA,,#N/A,
HUBTOWN,INE703H01016,Hubtown Limited,Hubtown Limited,10,INDIA,,#N/A,
HUDCO,INE031A01017,Housing & Urban Development Corporation Limited,Housing & Urban Development Corporation Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - HOUSING,
IBREALEST,INE069I01010,Indiabulls Real Estate Limited,Indiabulls Real Estate Limited,2,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,
IBULHSGFIN,INE148I01020,Indiabulls Housing Finance Limited,Indiabulls Housing Finance Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - HOUSING,
IBULISL,INE126M01010,,,,INDIA,,#N/A,
IBVENTURES,INE274G01010,Indiabulls Ventures Limited,Indiabulls Ventures Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - INVESTMENTS,
ICEMAKE,INE520Y01019,,,,INDIA,,#N/A,
ICICI500,INF109KC1CZ3,,,,INDIA,,#N/A,
ICICIB22,INF109KB15Y7,,,,INDIA,,#N/A,
ICICIBANK,INE090A01021,ICICI Bank Limited,ICICI Bank Limited,2,INDIA,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,
ICICIGI,INE765G01017,ICICI Lombard General Insurance Company Limited,ICICI Lombard General Insurance Company Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - GENERAL,
ICICIGOLD,INF109KB1WF4,,,,INDIA,,#N/A,
ICICILOVOL,INF109KB10T8,,,,INDIA,,#N/A,
ICICIMCAP,INF109KB1XT3,,,,INDIA,,#N/A,
ICICINF100,INF109KA1962,,,,INDIA,,#N/A,
ICICINIFTY,INF109K012R6,,,,INDIA,,#N/A,
ICICINV20,INF109KB1WY5,,,,INDIA,,#N/A,
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Limited,ICICI Prudential Life Insurance Company Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - GENERAL,
ICICISENSX,INF346A01034,,,,INDIA,,#N/A,
ICIL,INE483B01026,Indo Count Industries Limited,Indo Count Industries Limited,2,INDIA,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
ICRA,INE725G01011,ICRA Limited,ICRA Limited,10,INDIA,FINANCIAL SERVICES,MISCELLANEOUS,FINANCIAL SERVICES
ICSA,INE306B01029,ICSA (India) Limited,ICSA (India) Limited,2,INDIA,,#N/A,
IDBI,INE008A01015,IDBI Bank Limited,IDBI Bank Limited,10,INDIA,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,
IDBIGOLD,INF397L01554,,,,INDIA,,#N/A,
IDEA,INE669E01016,Idea Cellular Limited,Idea Cellular Limited,10,INDIA,TELECOM,TELECOMMUNICATIONS - SERVICE,
IDFC,INE043D01016,IDFC Limited,IDFC Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,
IDFCBANK,INE092T01019,IDFC Bank Limited,IDFC Bank Limited,10,INDIA,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,
IDFNIFTYET,INF194KA1U07,,,,INDIA,,#N/A,
IEX,INE022Q01012,Indian Energy Exchange Ltd.,Indian Energy Exchange Ltd.,,INDIA,FINANCIAL SERVICES,#N/A,
IFBAGRO,INE076C01018,IFB Agro Industries Limited,IFB Agro Industries Limited,10,INDIA,,#N/A,
IFBIND,INE559A01017,IFB Industries Limited,IFB Industries Limited,10,INDIA,CONSUMER GOODS,#N/A,
IFCI,INE039A01010,IFCI Limited,IFCI Limited,10,INDIA,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,
IFGLEXPOR,INE133Y01011,,,,INDIA,,#N/A,
IGARASHI,INE188B01013,Igarashi Motors India Limited,Igarashi Motors India Limited,10,INDIA,,#N/A,
IGL,INE203G01027,Indraprastha Gas Limited,Indraprastha Gas Limited,10,INDIA,ENERGY,OIL DRILLING AND EXPLORATION,
IGPL,INE204A01010,IG Petrochemicals Limited,IG Petrochemicals Limited,10,INDIA,CHEMICALS,CHEMICALS,
IIFCL,INE787H07370,,,,INDIA,,#N/A,
IIFL,INE530B01024,IIFL Holdings Limited,IIFL Holdings Limited,2,INDIA,FINANCIAL SERVICES,FINANCE - GENERAL,
IIFLFIN,INE866I08139,,,,INDIA,,#N/A,
IIHFL,INE477L07040,,,,INDIA,,#N/A,
IL&FSENGG,INE369I01014,IL&FS Engineering and Construction Company Limited,IL&FS Engineering and Construction Company Limited,10,INDIA,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,
IL&FSTRANS,INE975G01012,IL&FS Transportation Networks Limited,IL&FS Transportation Networks Limited,10,INDIA,CONSTRUCTION,#N/A,
IMFA,INE919H01018,Indian Metals & Ferro Alloys Limited,Indian Metals & Ferro Alloys Limited,10,INDIA,METALS,#N/A,
IMPAL,INE547E01014,India Motor Parts and Accessories Limited,India Motor Parts and Accessories Limited,10,INDIA,,#N/A,
