symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
CAMLINFINE,Camlin Fine Sciences Limited,1.00,648.91,80.80,80310643.56435645,ANNUAL GENERAL MEETING,03-AUG-18,-
CANBK,Canara Bank,10.00,5691.81,285.12,199628577.44107744,ANNUAL GENERAL MEETING,18-JUL-18,-
CANDC,C & C Constructions Limited,10.00,50.47,33.22,15192655.027092112,ANNUAL GENERAL MEETING,10-SEP-18,-
CANFINHOME,Can Fin Homes Limited,2.00,3041.84,338.54,89851716.19306433,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2 PER SHARE,13-JUN-18,-
CANTABIL,Cantabil Retail India Limited,10.00,54.10,126.73,4268918.172492702,ANNUAL GENERAL MEETING,18-SEP-18,-
CAPACITE,Capacit'e Infraprojects Limited,10.00,288.84,269.60,10713649.851632046,DIVIDEND RE 1\/- PER SHARE,24-AUG-18,27-AUG-18
CAPF,Capital First Limited,10.00,2979.04,632.02,47135217.23996077,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.80 PER SHARE,26-JUN-18,-
CAPLIPOINT,Caplin Point Laboratories Limited,2.00,934.79,401.71,23270269.597470812,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,07-SEP-17,-
CAPTRUST,Capital Trust Limited,10.00,100.52,389.37,2581606.184349077,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,02-AUG-17,-
CARBORUNIV,Carborundum Universal Limited,1.00,3928.59,368.93,106486054.26503673,DIVIDEND- RS 1.25 PER SHARE,25-JUL-18,-
CAREERP,Career Point Limited,10.00,63.57,91.71,6931632.319267256,ANNUAL GENERAL MEETING,17-SEP-18,-
CARERATING,CARE Ratings Limited,10.00,3435.93,1293.92,26554423.76653889,ANNUAL GENERAL MEETING\/ FINAL DIVIDEND-RS 12 PER SHARE\/ SPECIAL DIVIDEND- RS 25 PER SHARE,18-SEP-18,-
CASTEXTECH,Castex Technologies Limited,2.00,30.06,1.42,211690140.84507045,ANNUAL GENERAL MEETING,25-SEP-17,-
CASTROLIND,Castrol India Limited,5.00,7701.41,160.74,479122184.8948612,INTERIM DIVIDEND RS - 2.25 PER SHARE,09-AUG-18,10-AUG-18
CCCL,Consolidated Construction Consortium Limited,2.00,29.05,2.60,111730769.23076923,ANNUAL GENERAL MEETING,18-SEP-17,-
CCHHL,Country Club Hospitality & Holidays Limited,2.00,43.14,9.95,43356783.91959799,ANNUAL GENERAL MEETING,21-SEP-17,-
CCL,CCL Products (India) Limited,2.00,1903.40,264.87,71861667.98806962,DIVIDEND- RS 2.50 PER SHARE,06-JUL-18,-
CDSL,Central Depository Services (India) Limited,10.00,951.85,268.20,35490305.7419836,ANNUAL GENERAL MEETING\/DIVIDEND RS - 3.50 PER SHARE,09-AUG-18,-
CEATLTD,CEAT Limited,10.00,2831.86,1428.42,19825121.462875064,ANNUAL GENERAL MEETING\/DIVIDEND- RS 11.50 PER SHARE,10-JUL-18,-
CEBBCO,Commercial Engineers & Body Builders Co Limited,10.00,32.14,12.98,24761171.032357473,ANNUAL GENERAL MEETING,14-SEP-17,-
