Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
20-Apr-23,RUSTOMJEE,442.15,447.9,-0.0129,0.0123,0.0123,0.235
20-Apr-23,RVHL,22.4,22.2,0.009,0.03,0.03,0.5731
20-Apr-23,RVNL,77.1,74.45,0.035,0.0301,0.0301,0.5751
20-Apr-23,RWCL,1.25,1.25,0,0,0,0
20-Apr-23,S&SPOWER,28.75,28.75,0,0.0429,0.0428,0.8177
20-Apr-23,SAANVI,10,10,0,0,0,0
20-Apr-23,SABEVENTS,3.55,3.5,0.0142,0.0552,0.0551,1.0527
20-Apr-23,SABTN,1.6,1.6,0,0.0527,0.0525,1.003
20-Apr-23,SADBHAV,10.55,10.7,-0.0141,0.0375,0.0374,0.7145
20-Apr-23,SADBHIN,3.65,3.75,-0.027,0.034,0.0339,0.6477
20-Apr-23,SAFARI,2214.1,2179.2,0.0159,0.0255,0.0254,0.4853
20-Apr-23,SAGARDEEP,22.05,22.45,-0.018,0.0301,0.0301,0.5751
20-Apr-23,SAGCEM,194.1,194.35,-0.0013,0.0261,0.026,0.4967
20-Apr-23,SAH,75,74.05,0.0127,0.0127,0.0127,0.2426
20-Apr-23,SAHYADRI,374.3,371.75,0.0068,0.0034,0.0034,0.065
20-Apr-23,SAIL,83.2,82.65,0.0066,0.0242,0.0241,0.4604
20-Apr-23,SAKAR,221.2,220.4,0.0036,0.0346,0.0345,0.6591
20-Apr-23,SAKHTISUG,24.45,24.85,-0.0162,0.0382,0.0381,0.7279
20-Apr-23,SAKSOFT,179.25,169.95,0.0533,0.0316,0.0317,0.6056
20-Apr-23,SAKUMA,13.1,12.6,0.0389,0.0348,0.0348,0.6649
20-Apr-23,SALASAR,42.45,42,0.0107,0.0353,0.0352,0.6725
20-Apr-23,SALONA,254.85,256.75,-0.0074,0.0366,0.0365,0.6973
20-Apr-23,SALSTEEL,17.8,17.45,0.0199,0.0347,0.0346,0.661
20-Apr-23,SALZERELEC,297.3,293,0.0146,0.0332,0.0332,0.6343
20-Apr-23,SAMBHAAV,2.8,2.85,-0.0177,0.0382,0.0381,0.7279
20-Apr-23,SAMYAK,9.95,9.95,0,0,0,0
20-Apr-23,SANCO,7.6,7.25,0.0471,0.034,0.0341,0.6515
20-Apr-23,SANDESH,917.45,927.3,-0.0107,0.031,0.0309,0.5903
20-Apr-23,SANDHAR,205.6,206.65,-0.0051,0.0179,0.0179,0.342
20-Apr-23,SANGAMIND,250.25,236.5,0.0565,0.0299,0.0301,0.5751
20-Apr-23,SANGHIIND,68.5,69.75,-0.0181,0.0345,0.0344,0.6572
20-Apr-23,SANGHVIMOV,373.3,372.25,0.0028,0.0301,0.03,0.5731
20-Apr-23,SANGINITA,19.1,19.2,-0.0052,0.0328,0.0327,0.6247
20-Apr-23,SANOFI,5970,5966.4,0.0006,0.0111,0.0111,0.2121
20-Apr-23,SANSERA,727.4,725.9,0.0021,0.0163,0.0162,0.3095
20-Apr-23,SAPPHIRE,1194.85,1168.8,0.022,0.0202,0.0202,0.3859
20-Apr-23,SARDAEN,1106.35,1124.9,-0.0166,0.0284,0.0283,0.5407
20-Apr-23,SAREGAMA,322.4,326.15,-0.0116,0.0252,0.0251,0.4795
20-Apr-23,SARLAPOLY,39.4,39.6,-0.0051,0.0268,0.0267,0.5101
20-Apr-23,SARNIMAL,1,1,0,0,0,0
20-Apr-23,SARVESHWAR,78.35,77.95,0.0051,0.0215,0.0215,0.4108
20-Apr-23,SASKEN,803,797.5,0.0069,0.023,0.0229,0.4375
20-Apr-23,SASTASUNDR,248.2,249.35,-0.0046,0.0305,0.0304,0.5808
