Date,Index,Open,High,Low,Close,Volume,Turnover
2016-01-05,Nifty MNC,9547.8,9559.25,9459.35,9492.9,16472360.0,6533500000.0
2016-01-06,Nifty MNC,9505.1,9505.1,9398.1,9412.15,13707393.0,7630100000.0
2016-01-07,Nifty MNC,9359.1,9371.55,9081.05,9102.9,24809092.0,11071199999.999998
2016-01-08,Nifty MNC,9137.65,9187.45,9049.5,9060.7,19499734.0,8983500000.0
2016-01-11,Nifty MNC,9013.75,9090.45,8952.6,9048.45,33670348.0,9637800000.0
2016-01-12,Nifty MNC,9073.5,9109.4,9051.55,9084.8,18390093.0,6546100000.0
2016-01-13,Nifty MNC,9122.55,9153.1,8971.4,9101.9,23197379.0,7587600000.0
2016-01-14,Nifty MNC,9031.85,9122.55,8962.4,9045.3,22166853.0,6415500000.0
2016-01-15,Nifty MNC,9065.2,9102.15,8855.6,8891.9,22353768.0,9401300000.0
2016-01-18,Nifty MNC,8873.5,8894.1,8767.8,8789.15,24297733.0,6821000000.0
2016-01-19,Nifty MNC,8802.45,8838.75,8756.75,8805.45,30220505.0,7154700000.0
2016-01-20,Nifty MNC,8744.05,8744.05,8528.7,8610.0,31772193.0,8927500000.0
2016-01-21,Nifty MNC,8663.75,8669.4,8399.7,8418.1,29024537.0,10445600000.0
2016-01-22,Nifty MNC,8493.95,8576.4,8487.85,8549.1,42259834.0,11776800000.0
2016-01-25,Nifty MNC,8590.55,8658.55,8556.45,8569.25,23305119.0,7753300000.0
2016-01-27,Nifty MNC,8618.7,8622.85,8509.8,8517.95,33557322.0,11864600000.0
2016-01-28,Nifty MNC,8501.15,8610.4,8495.8,8569.9,41919071.0,15726500000.0
2016-01-29,Nifty MNC,8506.9,8704.2,8506.9,8681.75,52274131.0,17187200000.0
2016-02-01,Nifty MNC,8717.45,8717.65,8601.05,8613.25,19652483.0,12538300000.0
2016-02-02,Nifty MNC,8650.85,8656.4,8487.75,8517.15,23753663.0,8951200000.0
2016-02-03,Nifty MNC,8469.4,8570.6,8427.5,8499.8,29981616.0,10481099999.999998
2016-02-04,Nifty MNC,8559.0,8634.05,8535.6,8611.1,41353075.0,11045100000.0
2016-02-05,Nifty MNC,8607.0,8712.45,8595.25,8654.9,48532083.0,14302900000.0
2016-02-08,Nifty MNC,8688.3,8725.2,8595.6,8609.95,25105800.0,6796100000.0
2016-02-09,Nifty MNC,8555.2,8591.0,8491.6,8498.25,23431689.0,6984100000.0
2016-02-10,Nifty MNC,8495.55,8513.5,8383.1,8437.0,22947444.0,8020700000.000001
2016-02-11,Nifty MNC,8400.65,8407.2,8189.05,8209.0,23939384.0,9545800000.0
2016-02-12,Nifty MNC,8238.2,8240.2,8087.85,8211.05,35102627.0,10443000000.0
2016-02-15,Nifty MNC,8312.4,8437.0,8310.4,8419.8,41759064.0,11090900000.0
2016-02-16,Nifty MNC,8435.0,8453.25,8283.0,8305.85,31176492.0,8124700000.0
2016-02-17,Nifty MNC,8299.65,8386.1,8159.75,8373.0,32396047.0,7031600000.0
2016-02-18,Nifty MNC,8433.3,8479.95,8347.35,8404.8,36654137.0,10363300000.0
2016-02-19,Nifty MNC,8405.55,8405.55,8308.35,8379.95,19019993.0,6334900000.0
2016-02-22,Nifty MNC,8378.6,8511.7,8353.35,8501.4,19108391.0,10956800000.0
2016-02-23,Nifty MNC,8499.75,8499.75,8380.2,8397.7,24746372.0,7684900000.0
2016-02-24,Nifty MNC,8385.15,8403.05,8319.1,8343.65,16776880.0,6416799999.999999
2016-02-25,Nifty MNC,8363.75,8369.45,8251.7,8266.25,20335612.0,8518200000.000001
2016-02-26,Nifty MNC,8347.65,8378.15,8246.1,8315.8,20757321.0,10954500000.0
2016-02-29,Nifty MNC,8331.6,8333.5,8095.35,8154.85,32603091.0,14597500000.0
2016-03-01,Nifty MNC,8164.0,8350.75,8154.15,8334.05,28004711.0,12316900000.0
2016-03-02,Nifty MNC,8414.2,8530.4,8414.2,8489.1,27796798.0,11142800000.0
2016-03-03,Nifty MNC,8540.6,8554.75,8479.7,8547.85,39114104.0,10071000000.0
2016-03-04,Nifty MNC,8588.85,8588.85,8526.9,8565.4,35526991.0,10008400000.0
2016-03-08,Nifty MNC,8562.1,8575.9,8435.1,8464.15,36398461.0,12070800000.0
2016-03-09,Nifty MNC,8427.85,8584.15,8412.5,8564.1,33686607.0,9866600000.0
2016-03-10,Nifty MNC,8580.05,8594.05,8495.65,8542.35,33634054.0,10782600000.0
2016-03-11,Nifty MNC,8547.65,8598.95,8525.9,8582.8,27716977.0,12812600000.0
2016-03-14,Nifty MNC,8621.35,8659.0,8580.3,8627.6,20021737.0,7226300000.0
2016-03-15,Nifty MNC,8621.2,8658.0,8567.85,8588.2,25463573.0,8987500000.0
2016-03-16,Nifty MNC,8597.4,8612.35,8515.7,8602.4,26443250.0,9003000000.0
2016-03-17,Nifty MNC,8659.55,8719.65,8627.35,8656.3,25428529.0,10207800000.0
2016-03-18,Nifty MNC,8672.15,8742.65,8604.9,8729.55,41327343.0,12644600000.0
2016-03-21,Nifty MNC,8738.0,8931.25,8738.0,8923.35,30615551.0,9726700000.0
2016-03-22,Nifty MNC,8920.1,8989.95,8868.8,8974.55,29049329.0,10646600000.0
2016-03-23,Nifty MNC,8980.05,9021.85,8930.4,9008.85,25802600.0,9080100000.0
2016-03-28,Nifty MNC,9027.75,9027.75,8845.15,8871.45,41229908.0,11718900000.000002
2016-03-29,Nifty MNC,8849.5,8937.95,8848.55,8888.75,25285939.0,8311799999.999999
2016-03-30,Nifty MNC,8920.1,8971.05,8909.5,8942.35,27495446.0,10070200000.0
2016-03-31,Nifty MNC,8938.15,8991.5,8920.1,8965.8,53093040.0,16812900000.0
2016-04-01,Nifty MNC,8936.5,9002.05,8913.4,8970.05,33496823.0,9779200000.0
2016-04-04,Nifty MNC,8988.45,9020.75,8928.1,8964.85,25043427.0,6786700000.0
2016-04-05,Nifty MNC,8926.5,8963.0,8781.75,8804.05,32636094.0,9650000000.0
2016-04-06,Nifty MNC,8818.55,8840.15,8775.25,8834.4,30957796.0,9690600000.0
2016-04-07,Nifty MNC,8834.0,8834.0,8692.65,8709.9,21980854.0,9265700000.0
2016-04-08,Nifty MNC,8694.45,8713.15,8669.7,8684.25,25707977.0,10468599999.999998
2016-04-11,Nifty MNC,8700.85,8786.6,8640.4,8778.3,32907560.0,11072900000.0
2016-04-12,Nifty MNC,8790.8,8916.7,8779.4,8884.95,34686336.0,13431600000.0
2016-04-13,Nifty MNC,8951.0,9093.6,8948.7,9085.35,51561801.0,14340800000.0
2016-04-18,Nifty MNC,9099.35,9121.3,9028.05,9109.7,34412027.0,10532800000.0
2016-04-20,Nifty MNC,9117.15,9144.95,9082.05,9127.55,62562963.0,17741300000.0
2016-04-21,Nifty MNC,9156.15,9167.55,9052.85,9085.3,36048398.0,14131600000.0
2016-04-22,Nifty MNC,9064.2,9117.9,9048.75,9091.6,29310772.0,10571900000.0
2016-04-25,Nifty MNC,9084.7,9123.65,8997.85,9035.4,25795167.0,8216200000.0
2016-04-26,Nifty MNC,9003.85,9170.65,9003.85,9159.55,31988322.0,16782600000.0
2016-04-27,Nifty MNC,9147.4,9205.7,9133.55,9176.9,25143586.0,10674900000.0
2016-04-28,Nifty MNC,9166.1,9189.55,8985.8,8999.25,40714376.0,16546199999.999998
2016-04-29,Nifty MNC,9016.4,9088.75,8967.4,9030.7,45039003.0,11968699999.999998
2016-05-02,Nifty MNC,9026.2,9070.3,8979.6,9061.7,44929178.0,9646800000.0
2016-05-03,Nifty MNC,9082.3,9146.2,8991.15,9011.6,47101110.0,14732800000.0
2016-05-04,Nifty MNC,8986.5,8995.65,8924.85,8935.05,40028162.0,9879000000.0
2016-05-05,Nifty MNC,8971.1,9002.05,8926.15,8975.6,34540486.0,9846800000.0
2016-05-06,Nifty MNC,8971.75,9008.45,8941.9,8995.75,27864830.0,7116100000.0
2016-05-09,Nifty MNC,9023.85,9084.75,9004.6,9022.75,26790126.0,11600500000.0
2016-05-10,Nifty MNC,9024.7,9095.65,9023.95,9056.45,32209533.0,11772900000.0
2016-05-11,Nifty MNC,8968.0,9098.55,8951.1,9087.45,28020843.0,9098100000.0
2016-05-12,Nifty MNC,9088.25,9118.8,9055.1,9105.9,20715170.0,9384300000.0
2016-05-13,Nifty MNC,9094.1,9095.75,8976.65,8991.9,26601044.0,8926400000.0
2016-05-16,Nifty MNC,9013.75,9063.15,8933.25,9049.85,22609075.0,9344900000.0
2016-05-17,Nifty MNC,9079.35,9091.15,9026.35,9063.9,22548398.0,10215800000.0
2016-05-18,Nifty MNC,9025.5,9025.5,8924.75,8969.3,21056102.0,13559100000.0
2016-05-19,Nifty MNC,8965.2,8988.6,8865.45,8895.25,32203496.0,12278200000.0
2016-05-20,Nifty MNC,8896.6,8924.65,8846.6,8860.6,26321778.0,8272100000.0
2016-05-23,Nifty MNC,8891.5,8898.3,8818.65,8830.15,20714286.0,8138099999.999999
2016-05-24,Nifty MNC,8840.1,8873.6,8768.5,8857.5,23025072.0,8514299999.999999
2016-05-25,Nifty MNC,8920.4,9052.3,8920.4,9021.2,63196013.0,15279600000.0
2016-05-26,Nifty MNC,9044.35,9139.55,9007.45,9125.95,78906972.0,22795700000.0
2016-05-27,Nifty MNC,9132.9,9208.25,9132.9,9194.4,40700497.0,16201900000.0
2016-05-30,Nifty MNC,9207.5,9242.4,9158.0,9186.85,26537178.0,7804400000.000001
2016-05-31,Nifty MNC,9193.45,9257.15,9172.55,9215.2,60781747.0,23498700000.0
2016-06-01,Nifty MNC,9247.1,9289.4,9186.3,9201.05,49862191.0,13019800000.0
2016-06-02,Nifty MNC,9192.05,9271.85,9137.35,9261.55,29618270.0,10069900000.0
2016-06-03,Nifty MNC,9281.85,9359.4,9280.65,9323.05,21501358.0,9273100000.0
2016-06-06,Nifty MNC,9324.3,9343.8,9241.4,9262.35,22388268.0,7598400000.0
2016-06-07,Nifty MNC,9310.55,9368.3,9299.15,9346.4,25640423.0,9779300000.0
2016-06-08,Nifty MNC,9334.15,9391.2,9334.15,9380.5,27286663.0,8409000000.0
2016-06-09,Nifty MNC,9390.25,9390.25,9283.6,9301.2,31685507.0,8577000000.0
2016-06-10,Nifty MNC,9309.85,9361.35,9258.9,9266.5,38764774.0,9776200000.0
2016-06-13,Nifty MNC,9198.7,9271.05,9188.25,9259.5,27267340.0,8020200000.0
2016-06-14,Nifty MNC,9262.0,9282.6,9189.8,9221.7,19366005.0,6490000000.0
2016-06-15,Nifty MNC,9250.0,9325.6,9234.0,9322.2,36592513.0,8776200000.0
2016-06-16,Nifty MNC,9286.15,9293.75,9176.55,9258.8,43840409.0,12132100000.0
2016-06-17,Nifty MNC,9299.65,9325.35,9244.95,9273.9,33167839.0,10533500000.0
2016-06-20,Nifty MNC,9209.8,9335.15,9189.35,9326.0,32480826.0,9033200000.0
2016-06-21,Nifty MNC,9329.8,9329.8,9289.2,9312.1,35138946.0,9888900000.0
2016-06-22,Nifty MNC,9288.55,9318.3,9263.9,9289.3,28378321.0,8188300000.0
2016-06-23,Nifty MNC,9298.7,9351.8,9260.6,9341.85,32581904.0,8372700000.0
2016-06-24,Nifty MNC,9148.2,9187.9,9004.35,9178.25,53201699.0,15847200000.0
2016-06-27,Nifty MNC,9160.5,9241.95,9154.25,9204.65,31746704.0,10178500000.0
2016-06-28,Nifty MNC,9224.55,9369.7,9224.55,9361.7,26262371.0,9645700000.0
2016-06-29,Nifty MNC,9419.6,9484.6,9414.65,9467.5,30050678.0,10389600000.0
2016-06-30,Nifty MNC,9530.0,9575.3,9504.85,9564.95,35221112.0,14692700000.0
2016-07-01,Nifty MNC,9576.7,9615.5,9545.25,9596.5,33255924.0,11267400000.0
2016-07-04,Nifty MNC,9620.55,9642.95,9592.6,9606.65,27943640.0,8430000000.0
2016-07-05,Nifty MNC,9596.85,9613.2,9554.25,9595.65,38133227.0,8656300000.0
2016-07-07,Nifty MNC,9605.2,9690.55,9596.6,9676.25,57806945.0,11756800000.0
2016-07-08,Nifty MNC,9690.2,9716.9,9653.5,9683.95,32558052.0,8089800000.0
2016-07-11,Nifty MNC,9754.0,9825.8,9754.0,9812.6,34110246.0,9623200000.0
2016-07-12,Nifty MNC,9850.6,9888.05,9811.55,9881.1,44500897.0,12305000000.0
